studentId,name,age,email,major,minor,year,gpa
81,Hadleigh Kitman,23,hkitman28@earthlink.net,Biology,Art History,1,6.93
82,Quintus Holtum,19,qholtum29@drupal.org,Physics,Economics,2,9.4
83,Sergent Rickersey,22,srickersey2a@1688.com,Computer Science,None,1,9.37
84,Tremain O'Lunny,21,tolunny2b@slideshare.net,Chemistry,None,4,8.85
85,Katharyn Villaron,24,kvillaron2c@vimeo.com,Biology,Economics,2,7.02
86,Haleigh Burg,22,hburg2d@facebook.com,Physics,Economics,3,9.41
87,Alicea Sainer,20,asainer2e@spotify.com,Mathematics,Data Science,2,9.43
88,Gilemette Garton,23,ggarton2f@lycos.com,Chemistry,None,3,7.05
89,Colver Flaubert,22,cflaubert2g@cbsnews.com,Chemistry,Economics,3,8.24
90,Rufus Cardozo,24,rcardozo2h@fda.gov,Physics,None,3,8.08
91,Lynnette Brandel,19,lbrandel2i@people.com.cn,Physics,Statistics,3,9.54
92,Donavon Van den Hof,22,dvan2j@cbc.ca,Computer Science,Economics,4,8.5
93,Drake Standing,24,dstanding2k@geocities.com,Mathematics,Economics,3,8.55
94,Meir Thrower,23,mthrower2l@go.com,Computer Science,Art History,4,6.14
95,Sonia Skipper,22,sskipper2m@youtu.be,Mathematics,Statistics,3,6.2
96,Max Chansonne,19,mchansonne2n@rakuten.co.jp,Chemistry,Art History,4,9.99
97,Rabbi Pauncefoot,25,rpauncefoot2o@ihg.com,Biology,Economics,1,8.59
98,Hyacinthe Dibdale,21,hdibdale2p@youtube.com,Biology,None,3,9.37
99,Joela Garcia,20,jgarcia2q@nih.gov,Computer Science,Statistics,1,6.27
100,Fitzgerald Willmott,21,fwillmott2r@netscape.com,Mathematics,Statistics,2,7.76
